"tick","Search","Agents"
1.0,1.0,50
2.0,1.0,89
3.0,1.0,89
4.0,1.0,118
5.0,1.0,118
6.0,1.0,131
7.0,1.0,131
8.0,1.0,125
9.0,1.0,125
10.0,1.0,112
11.0,1.0,112
12.0,1.0,110
13.0,1.0,110
14.0,1.0,109
15.0,1.0,109
16.0,1.0,108
17.0,1.0,108
18.0,1.0,110
19.0,1.0,110
20.0,1.0,106
21.0,1.0,106
22.0,1.0,108
23.0,1.0,108
24.0,1.0,103
25.0,1.0,103
26.0,1.0,106
27.0,1.0,106
28.0,1.0,102
29.0,1.0,102
30.0,1.0,97
31.0,1.0,97
32.0,1.0,92
33.0,1.0,92
34.0,1.0,96
35.0,1.0,96
36.0,1.0,87
37.0,1.0,87
38.0,1.0,86
39.0,1.0,86
40.0,1.0,91
41.0,1.0,91
42.0,1.0,88
43.0,1.0,88
44.0,1.0,87
45.0,1.0,87
46.0,1.0,94
47.0,1.0,94
48.0,1.0,97
49.0,1.0,97
50.0,1.0,94
51.0,1.0,94
52.0,1.0,88
53.0,1.0,88
54.0,1.0,91
55.0,1.0,91
56.0,1.0,84
57.0,1.0,84
58.0,1.0,78
59.0,1.0,78
60.0,1.0,76
61.0,1.0,76
62.0,1.0,79
63.0,1.0,79
64.0,1.0,80
65.0,1.0,80
66.0,1.0,73
67.0,1.0,73
68.0,1.0,74
69.0,1.0,74
70.0,1.0,82
71.0,1.0,82
72.0,1.0,85
73.0,1.0,85
74.0,1.0,86
75.0,1.0,86
76.0,1.0,82
77.0,1.0,82
78.0,1.0,89
79.0,1.0,89
80.0,1.0,92
81.0,1.0,92
82.0,1.0,83
83.0,1.0,83
84.0,1.0,87
85.0,1.0,87
86.0,1.0,83
87.0,1.0,83
88.0,1.0,91
89.0,1.0,91
90.0,1.0,85
91.0,1.0,85
92.0,1.0,83
93.0,1.0,83
94.0,1.0,80
95.0,1.0,80
96.0,1.0,82
97.0,1.0,82
98.0,1.0,80
99.0,1.0,80
100.0,1.0,78
101.0,1.0,78
102.0,1.0,79
103.0,1.0,79
104.0,1.0,83
105.0,1.0,83
106.0,1.0,86
107.0,1.0,86
108.0,1.0,82
109.0,1.0,82
110.0,1.0,80
111.0,1.0,80
112.0,1.0,89
113.0,1.0,89
114.0,1.0,90
115.0,1.0,90
116.0,1.0,81
117.0,1.0,81
118.0,1.0,80
119.0,1.0,80
120.0,1.0,84
121.0,1.0,84
122.0,1.0,95
123.0,1.0,95
124.0,1.0,88
125.0,1.0,88
126.0,1.0,84
127.0,1.0,84
128.0,1.0,91
129.0,1.0,91
130.0,1.0,89
131.0,1.0,89
132.0,1.0,79
133.0,1.0,79
134.0,1.0,77
135.0,1.0,77
136.0,1.0,75
137.0,1.0,75
138.0,1.0,77
139.0,1.0,77
140.0,1.0,68
141.0,1.0,68
142.0,1.0,71
143.0,1.0,71
144.0,1.0,77
145.0,1.0,77
146.0,1.0,71
147.0,1.0,71
148.0,1.0,73
149.0,1.0,73
150.0,1.0,80
151.0,1.0,80
152.0,1.0,76
153.0,1.0,76
154.0,1.0,79
155.0,1.0,79
156.0,1.0,82
