"run","nSteps","randomSeed","maxEnergy","xDim","maxResource","decisionType","resourceGrowthRate","memory","numberOfAgents","energyCost","searchRadius","yDim"
1,1000.0,-2046862019,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
2,1000.0,-2046860938,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
3,1000.0,-2046860062,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
4,1000.0,-2046858932,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
5,1000.0,-2046857692,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
6,1000.0,-2046856626,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
7,1000.0,-2046855907,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
8,1000.0,-2046854575,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
9,1000.0,-2046853277,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
10,1000.0,-2046851960,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
11,1000.0,-2046850346,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
12,1000.0,-2046849054,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
13,1000.0,-2046847732,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
14,1000.0,-2046845964,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
15,1000.0,-2046844628,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
16,1000.0,-2046843152,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
17,1000.0,-2046841665,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
18,1000.0,-2046840089,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
19,1000.0,-2046839023,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
20,1000.0,-2046837234,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
21,1000.0,-2046835515,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
22,1000.0,-2046833331,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
23,1000.0,-2046831863,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
24,1000.0,-2046830261,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
25,1000.0,-2046828231,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
26,1000.0,-2046825920,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
27,1000.0,-2046823929,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
28,1000.0,-2046822139,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
29,1000.0,-2046820152,100.0,30,100,"greedy",25.0,"false",50,25.0,1,30
